circuit,proportional,naive,lookahead,nodes_proportional,nodes_naive,nodes_lookahead
5xp1_194.real,0.059968412,0.064086314,0.105905415,1194,1024,1024
C7552_205.real,0.095418175,0.114280575,0.237483513,642,578,578
alu1_198.real,0.011693092,0.127244845,0.144525926,263,4136,248
apla_203.real,0.122876988,0.201802745,0.446385716,444,1026,842
c2_181.real,0.040446879,0.147413384,0.311938804,385,1493,580
c2_182.real,0.70249091,1.113073151,2.640904215,6360,7966,15821
cm151a_211.real,0.048063081,0.240807189,0.478455282,884,11824,1882
cm163a_213.real,0.054682974,0.094441338,0.25092293,760,1155,1155
cu_219.real,0.035395953,0.04470126,0.071113147,355,712,712
dk17_224.real,0.085265098,0.142227391,0.192649279,798,1138,1138
dk27_225.real,0.014144668,0.016626902,0.059472707,485,624,535
example2_231.real,0.331023446,0.61874889,0.693039532,943,1686,1686
mlp4_245.real,0.305774582,0.407111197,0.641675133,771,2122,979
mod5adder_306.real,0.642507244,721.988833835,22.707591883,18996,2349478,76770
pcler8_248.real,0.011379203,0.029957389,0.09960165,243,1829,803
rd73_312.real,0.78978498,21.196471012,1.501057,40528,265960,9479
rd84_313.real,12.688092327,4041.274014836,159.262773146,96861,2022771,270538
sym9_317.real,0.046553748,22.861823042,0.27236555,968,424285,907
